sclaim_number,sjob_no,dtpaid,cpaid_parts,cpaid_labor,cpaid_sublet,cpaid_other,cpaid_deductible,cclaim_taxes,claim_total,spayee_state,dtclaim_paid_date,Cause_of_Loss,Loss_Code,Claim_State,Coverage_Type,Date_Claim_is_Reported,Date_of_Loss,Make,Mileage_At_Claim,Model,Model_Year,Repair_Description
C000019015      ,A01 ,11/22/2021 0:00,117.59,883.5,0,0,-50,0,$951.09 ,OR,11/22/2021 0:00,found the high pressure line is broken at  condenser connection,ACEX05  ,OR,ACEX05  ,11/10/2021,10/11/2021,NISSAN,45842,LEAF,2015,A/C Lines/Hoses                                             
I000016524      ,A01 ,7/22/2021 0:00,80.47,96,0,0,-100,0,$76.47 ,OR,7/22/2021 0:00,"FOUND OUTER DRIVERS SIDE DOOR HANDLE IS SEPERATING

FOUND LEAK IN DRIVERS SIDE REAR SHOCK AND PASS SIDE REAR SHOCK IS SEEPING",IEEX15  ,OR,IEEX15  ,7/5/2021,7/2/2021,NISSAN,43295,LEAF,2016,"Door, Liftgate and Tailgate Handles                         "
C000022513      ,A01 ,4/12/2022 0:00,273.56,115,0,0,-100,12.72,$301.28 ,WA,4/12/2022 0:00,both caliper pistons overextended and leaking,BR003OA ,WA,BR003OA ,4/11/2022,4/11/2022,RAM,56506,3500 LARAMIE,2016,Caliper(s)                                                  
C000015703      ,A01 ,5/25/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,5/25/2021 0:00,"Tech verified concern on a road test and found that the vehicle does not go into second gear, p0731 code found active,GEAR 1 SHIFT INCORRECT RATIO no leaks from trans fluid was full condition slightly discolored and worn.",TR001F  ,WA,TR001F  ,5/20/2021,5/20/2021,DODGE,89895,DURANGO LIMITED,2016,Internal Lubricated Component                               
C000015703      ,A01 ,6/11/2021 0:00,1948.98,1137.24,0,85,-200,83.12,"$3,054.34 ",WI,6/11/2021 0:00,"Tech verified concern on a road test and found that the vehicle does not go into second gear, p0731 code found active,GEAR 1 SHIFT INCORRECT RATIO no leaks from trans fluid was full condition slightly discolored and worn.",TR001F  ,WA,TR001F  ,5/20/2021,5/20/2021,DODGE,89895,DURANGO LIMITED,2016,Internal Lubricated Component                               
C000022168      ,A01 ,4/5/2022 0:00,38.55,374.88,0,0,-100,2.3,$315.73 ,ID,4/5/2022 0:00,found the blend door actuator does not function.,ACEX08B ,WA,ACEX08B ,3/29/2022,3/25/2022,FORD,131820,F150 SUPERCREW,2012,Acutator(s)                                                 
C000017863      ,A01 ,9/27/2021 0:00,507.99,359.99,0,0,-100,0,$767.98 ,WA,9/27/2021 0:00,"front track bar, ball joints, tie rod ends worn beyond spec",SU014B  ,WA,SU014B  ,9/13/2021,9/13/2021,FORD,89930,F350 SUPER DUTY,2015,Track Bar(s)                                                
C000015881      ,A01 ,10/12/2021 0:00,324,187.5,0,0,-100,0,$411.50 ,WA,10/12/2021 0:00,no code power ground good.  replace shifter knob and no codes.  fixed issue,IEEX05  ,WA,IEEX05  ,6/1/2021,6/1/2021,DODGE,52300,DURANGO GT,2017,Shift Lever                                                 
C000017080      ,A01 ,10/12/2021 0:00,1227.5,475,0,0,-100,0,"$1,602.50 ",WA,10/12/2021 0:00,"intermittent dtp bus issue u0074-00  TCM DPT bus off
new code.  no code for shifter knob issue",ELEX    ,WA,ELEX    ,8/2/2021,8/2/2021,DODGE,56693,DURANGO GT,2017,X-Misc Non-Excluded Electrical Components                   
C000020496      ,A01 ,4/28/2022 0:00,422,432,0,0,-100,0,$754.00 ,WA,4/28/2022 0:00,"Tech duplicated concern the radio and camera is wiring is good- found internal camera failure no water damage no external damage
Tech duplicated key issue the codes are pointing to Wireless control module to the pcm and the codes were p0513, ch brought both keys and they both dont recognize but known good one doesnt set fault code. Replaced both sets of batteries and no changes.",ELEX55A ,WA,ELEX55A ,1/20/2022,1/19/2022,JEEP,96774,GRAND CHEROKEE OVERLAND,2011,Keyless Entry Remote                                        
C000020496      ,A02 ,4/28/2022 0:00,527,252,0,0,0,0,$779.00 ,WA,4/28/2022 0:00,"Tech duplicated concern the radio and camera is wiring is good- found internal camera failure no water damage no external damage
Tech duplicated key issue the codes are pointing to Wireless control module to the pcm and the codes were p0513, ch brought both keys and they both dont recognize but known good one doesnt set fault code. Replaced both sets of batteries and no changes.",ELEX63  ,WA,ELEX63  ,1/20/2022,1/19/2022,JEEP,96774,GRAND CHEROKEE OVERLAND,2011,Backup Camera                                               
C000015835      ,A01 ,6/25/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,6/25/2021 0:00,"found pressure below charge condenser is leaking
c1117 c111b bulletin wiring found to be damaged due to rubbing on the spare tire and trailer brake switch has intermittent problem
tested heater found heater has a fault in the back and cushion
verified b2462 in system tested antenna antenna internal failure
transmission pan gasket leaking",AC003   ,WA,AC003   ,5/26/2021,5/26/2021,GMC,60783,YUKON SLT,2016,Condensor                                                   
C000015835      ,A01 ,10/5/2021 0:00,315.48,1120.5,0,0,-100,0,"$1,335.98 ",WA,10/5/2021 0:00,"found pressure below charge condenser is leaking
c1117 c111b bulletin wiring found to be damaged due to rubbing on the spare tire and trailer brake switch has intermittent problem
tested heater found heater has a fault in the back and cushion
verified b2462 in system tested antenna antenna internal failure
transmission pan gasket leaking",AC003   ,WA,AC003   ,5/26/2021,5/26/2021,GMC,60783,YUKON SLT,2016,Condensor                                                   
C000015835      ,A03 ,10/5/2021 0:00,254.21,567,0,0,0,0,$821.21 ,WA,10/5/2021 0:00,"found pressure below charge condenser is leaking
c1117 c111b bulletin wiring found to be damaged due to rubbing on the spare tire and trailer brake switch has intermittent problem
tested heater found heater has a fault in the back and cushion
verified b2462 in system tested antenna antenna internal failure
transmission pan gasket leaking",ELEX13M ,WA,ELEX13M ,5/26/2021,5/26/2021,GMC,60783,YUKON SLT,2016,Heated Seat Element(s)                                      
C000015835      ,A04 ,10/5/2021 0:00,175.71,283.5,0,0,0,0,$459.21 ,WA,10/5/2021 0:00,"found pressure below charge condenser is leaking
c1117 c111b bulletin wiring found to be damaged due to rubbing on the spare tire and trailer brake switch has intermittent problem
tested heater found heater has a fault in the back and cushion
verified b2462 in system tested antenna antenna internal failure
transmission pan gasket leaking",ELEX    ,WA,ELEX    ,5/26/2021,5/26/2021,GMC,60783,YUKON SLT,2016,X-Misc Non-Excluded Electrical Components                   
C000015835      ,A05 ,10/5/2021 0:00,68.28,364.5,0,0,0,0,$432.78 ,WA,10/5/2021 0:00,"found pressure below charge condenser is leaking
c1117 c111b bulletin wiring found to be damaged due to rubbing on the spare tire and trailer brake switch has intermittent problem
tested heater found heater has a fault in the back and cushion
verified b2462 in system tested antenna antenna internal failure
transmission pan gasket leaking",TRSG    ,WA,TRSG    ,5/26/2021,5/26/2021,GMC,60783,YUKON SLT,2016,S&G-Misc Seals & Gaskets (Transmission)                     
C000019172      ,A01 ,11/29/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,11/29/2021 0:00,"Tech duplicated concern int the brake pedal switch is sticking bc it seeing throttle and brake its thinking thats causing issue p2299 p0573- road test and circuit check to confirm part failure
2 surface of axle shaft has caused wear on axle seal",ELEX02  ,WA,ELEX02  ,11/17/2021,11/17/2021,DODGE,71601,RAM 3500 LARAMIE,2012,Brake Light Switch                                          
C000019172      ,A01 ,12/21/2021 0:00,20.85,227.5,0,0,-100,0,$148.35 ,WA,12/21/2021 0:00,"Tech duplicated concern int the brake pedal switch is sticking bc it seeing throttle and brake its thinking thats causing issue p2299 p0573- road test and circuit check to confirm part failure
2 surface of axle shaft has caused wear on axle seal",ELEX02  ,WA,ELEX02  ,11/17/2021,11/17/2021,DODGE,71601,RAM 3500 LARAMIE,2012,Brake Light Switch                                          
